no,Material name,picture,Description,Colour,material,type,application,Grade
1,White Carrara,,Carrara Marble is a prestigious white to blue-grey marble quarried in the Carrara region of Italy. This timeless natural stone has been used since ancient Roman times and remains one of the most sought-after materials for luxury interiors. Its distinctive veining patterns ensure that every slab is unique.,White-Grey,Marble,NaturalStone,"Kitchen countertops
Bathroom vanities
Flooring 
Wall cladding 
Blacksplaches
Fireplace surrounds
Sculpture & Art",A+
2,Super White,,"Super White Marble is a contemporary stone known for its bright white to light grey base and subtle linear movement. Widely used in modern luxury interiors, it offers a clean and architectural aesthetic. Gentle veining ensures each slab remains visually distinct.",White-Grey,Marble,NaturalStone,,A+
3,Statuario,,"Statuario Marble is a premium Italian stone known for its bright white background and bold grey veining. Traditionally used in classical sculpture and architecture, it conveys elegance and prestige. Each slab features dramatic natural movement that enhances its visual presence.",White-Grey,Marble,NaturalStone,,A+
4,Calacatta,,"Calacatta Marble is a luxurious Italian marble characterized by a white base with expressive grey veining. Valued for its rarity and visual strength, it is widely used in high-end interior design. Each slab presents bold natural patterns that create a striking appearance.",White-Grey,Marble,NaturalStone,,A+
5,Calacatta Gold,,"Calacatta Gold Marble is a prestigious white marble accented with elegant gold and grey veining. Highly regarded in luxury interiors, it conveys refinement and exclusivity. Natural variation within each slab creates a unique and expressive surface.",White-Gold-Grey,Marble,NaturalStone,,A+
6,Calacatta Borghini,,"Calacatta Borghini Marble is a refined white stone with soft grey veining and balanced movement. Often selected for both classic and contemporary interiors, it offers understated elegance. Each slab displays natural variation that enhances its timeless character.",White-Grey,Marble,NaturalStone,,A+
7,Arabescato,,"Arabescato Marble is an Italian stone known for its white base and intricate grey veining. Frequently used in architectural applications, it offers depth and artistic movement. Each slab showcases naturally formed patterns that are visually distinctive.",White-Grey,Marble,NaturalStone,,A+
8,Arabescato Corchia,,"Arabescato Corchia Marble is a premium Italian marble distinguished by bold grey veining and strong movement. Chosen for statement architectural surfaces, it conveys depth and sophistication. Each slab is naturally expressive and visually powerful.",White-Grey,Marble,NaturalStone,,A+
9,Bianco Dolomiti,,"Bianco Dolomiti Marble is a refined white stone with soft grey veining and a calm visual character. Frequently used in contemporary interiors, it offers a clean and balanced appearance. Subtle natural variation ensures each slab remains elegant and unique.",White-Grey,Marble,NaturalStone,,A+
10,Thassos,,"Thassos Marble is a pure white stone quarried in Greece and valued for its crystalline structure. Commonly used in refined architectural interiors, it delivers a clean and luminous appearance. Its minimal veining ensures a uniform yet natural finish.",White,Marble,NaturalStone,,A+
11,White Venus,,"White Venus Marble is a soft white stone with gentle warm undertones and minimal veining. Often chosen for serene interiors, it delivers a balanced and refined appearance. Natural variation ensures each slab retains its own identity.",White,Marble,NaturalStone,,A+
12,Volakas,,"Volakas Marble is a white Greek marble characterized by soft grey veining and calm movement. Frequently used in modern interiors, it offers brightness and refinement. Each slab features natural variation that adds subtle elegance.",White-Grey,Marble,NaturalStone,,A+
13,Sky White,,"Sky White Marble is a bright stone accented with light grey veining across a white base. Selected for elegant interior spaces, it creates a light and refined atmosphere. Delicate natural patterns make every slab unique.",White-Grey,Marble,NaturalStone,,A+
14,Panda White,,"Panda White Marble is a striking stone featuring a white base with bold black veining. Frequently used in contemporary luxury interiors, it delivers strong graphic contrast. Each slab presents dramatic natural patterns that stand out.",White-Black,Marble,NaturalStone,,A+
15,Lilac Marble,,"Lilac Marble is a distinctive white stone with soft lilac-toned veining. Commonly used for statement interiors, it introduces subtle color while maintaining elegance. Each slab displays delicate natural variation.",White-Lilac,Marble,NaturalStone,,A+
16,Paonazzo,,"Paonazzo Marble is a rare white stone distinguished by purple and grey veining. Historically used in high-end architecture, it carries artistic and cultural significance. Each slab features dramatic natural patterns.",White-Purple-Grey,Marble,NaturalStone,,A+
17,Pietra Grey,,"Pietra Grey Marble is a dark grey stone defined by fine white veining and a clean linear look. Widely used in contemporary architecture, it conveys strength and modern elegance. Each slab presents subtle natural variation.",Grey-White,Marble,NaturalStone,,A+
18,Silver Shadow,,"Silver Shadow Marble is a grey stone with smooth tonal movement and contemporary appeal. Often specified for modern architectural interiors, it provides a clean and balanced surface. Subtle variation across each slab adds depth.",Grey,Marble,NaturalStone,,A+
19,Grigio Carnico,,"Grigio Carnico Marble is a dark grey Italian stone with pronounced white veining. Widely used in architectural and interior applications, it offers strong contrast and depth. Natural variation gives each slab a bold visual character.",Grey-White,Marble,NaturalStone,,A+
20,Cat Eye,,"Cat Eye Marble is a grey stone characterized by linear veining and layered movement. Selected for contemporary architectural interiors, it delivers structure and visual rhythm. Natural patterning ensures each slab remains distinctive.",Grey,Marble,NaturalStone,,A+
21,Crema Marfil,,"Crema Marfil Marble is a warm beige stone known for its uniform appearance and subtle veining. Widely used in classic and contemporary interiors, it provides warmth and versatility. Gentle natural variation enhances its timeless appeal.",Beige,Marble,NaturalStone,,A+
22,Botticino ,,"Botticino Marble is a light beige Italian stone known for its fine texture and understated elegance. Frequently used in architectural and interior applications, it provides a calm and timeless appearance. Subtle natural variation enhances its refined character.",Beige,Marble,NaturalStone,,A+
23,Daino Reale,,"Daino Reale Marble is a warm beige stone distinguished by linear veining and structured movement. Commonly used in interior architecture, it offers a balanced and orderly visual effect. Each slab features natural patterns that add depth.",Beige,Marble,NaturalStone,,A+
24,Perlato Sicilia,,"Perlato Sicilia Marble is a creamy-toned stone with gentle texture and classic appeal. Often used in traditional and contemporary interiors, it delivers warmth and subtle elegance. Fine grain and natural variation give each slab a distinctive finish.",Beige-Cream,Marble,NaturalStone,,A+
25,Emperador Light,,"Emperador Light Marble is a brown-toned stone with soft veining and warm character. Widely used in luxury interiors, it brings richness and depth to spaces. Natural variation ensures each slab remains visually unique.",Brown,Marble,NaturalStone,,A+
26,Emperador Dark,,"Emperador Dark Marble is a deep brown stone known for its dramatic veining and rich tone. Often selected for statement interiors, it conveys warmth and sophistication. Each slab presents bold natural variation.",Brown-Dark,Marble,NaturalStone,,A+
27,Tobacco Brown,,"Tobacco Brown Marble is a dark brown stone with linear movement and rich tonal depth. Commonly used in interior architecture, it adds warmth and refinement. Natural variation enhances its elegant character.",Brown,Marble,NaturalStone,,A+
29,Black Marquina,,"Black Marquina Marble is a black stone characterized by crisp white veining and strong contrast. Commonly referenced in international markets, it offers a bold and refined aesthetic. Natural veining ensures each slab is visually unique.",Black-White,Marble,NaturalStone,,A+
30,Black Forest,,"Black Forest Marble is a dramatic stone with strong linear movement across a dark base. Used for bold architectural statements, it delivers visual intensity. Each slab presents expressive natural patterning.",Black-Grey,Marble,NaturalStone,,A
31,Titanium Black ,,"Titanium Black Marble is a bold stone featuring flowing grey and white movement on a dark background. Selected for luxury interiors, it offers strong contrast and depth. Dynamic veining ensures each slab is visually distinctive.",Black-Grey,Marble,NaturalStone,,A
32,Verde Alpi,,"Verde Alpi Marble is a dramatic green stone characterized by deep tones and contrasting white veining. Widely used for statement interiors, it conveys richness and strength. Each slab displays bold natural patterns.",Green-White,Marble,NaturalStone,,A
33,Verde Guatemala,,"Verde Guatemala Marble is a dark green stone with subtle veining and dense appearance. Commonly selected for architectural interiors, it offers a bold yet refined aesthetic. Natural variation ensures each slab remains unique.",Green,Marble,NaturalStone,,A
,Rosso Verona,,"Rosso Verona Marble is a warm terracotta-red stone known for its fine grain and uniform appearance. Quarried in Italy, it has been widely used in historic and architectural applications. Its subtle texture and consistent tone give each slab a timeless character.",Red,Marble,NaturalStone,,
,Rossa orbico ,,"Rosso Orbico Marble is a deep red natural stone characterized by warm burgundy tones and soft white veining. Traditionally used in European architecture, it conveys richness and classical elegance. Natural variation within each slab creates a distinctive and refined appearance.",Red/pink,Marble ,naturalstone,,
34,Rosa Portogallo,,"Rosa Portogallo Marble is a warm pink stone known for its soft movement and elegant character. Traditionally used in classical architecture, it introduces warmth and subtle color. Natural variation enhances its refined appearance.",Pink,Marble,NaturalStone,,A
35,Alaska White,,"Alaska White Granite is a bright natural stone defined by a white base with bold black and grey mineral accents. Commonly used in contemporary interiors, it delivers strong contrast with a clean architectural look. Each slab presents natural variation that enhances its visual impact.",White-Black,Granite,NaturalStone,,A+
36,Colonial White,,"Colonial White Granite is a light-colored stone featuring subtle grey and beige mineral patterns. Frequently used in residential and commercial interiors, it offers a versatile and timeless appearance. Fine natural texture ensures every slab remains visually distinct.",White-Grey,Granite,NaturalStone,,A
37,River White,,"River White Granite is a soft white stone with gentle grey lines and occasional mineral accents. Popular in modern interior design, it provides a calm and refined surface. Natural variation across each slab adds understated character.",White-Grey,Granite,NaturalStone,,A
38,Moon White,,"Moon White Granite is a light stone with subtle grey movement across a white background. Frequently chosen for bright interiors, it offers a clean and balanced appearance. Gentle mineral variation ensures each slab remains unique.",White-Grey,Granite,NaturalStone,,A
39,Dallas White,,"Dallas White Granite is a bright stone with fine grey patterning over a white base. Often selected for contemporary interiors, it delivers a spacious and clean visual effect. Each slab features natural mineral variation that enhances its character.",White-Grey,Granite,NaturalStone,,A
40,Andromeda White,,"Andromeda White Granite is a light stone characterized by soft grey movement and fine mineral texture. Widely used in architectural interiors, it offers a refined and practical surface. Subtle natural variation gives each slab its own identity.",White-Grey,Granite,NaturalStone,,A
41,Viscon White,,"Viscon White Granite is a stone defined by flowing grey movement over a white base. Valued for its marble-like appearance combined with granite durability, it is widely used in modern interiors. Each slab displays expressive natural patterns.",White-Grey,Granite,NaturalStone,,A
42,Viscount White,,"Viscount White Granite is a white stone distinguished by linear grey veining and structured movement. Commonly specified in contemporary architecture, it creates strong visual rhythm. Natural patterning ensures each slab remains distinctive.",White-Grey Veining,Granite,NaturalStone,,A
43,Bianco Antico,,"Bianco Antico Granite is a light stone blending white, grey, and beige mineral tones. Popular for both residential and commercial interiors, it offers a timeless and adaptable appearance. Each slab presents gentle natural variation.",White-Grey-Beige,Granite,NaturalStone,,A+
,sila granite ,,"Sila Granite refers to thailand locally quarried natural stone known for its durability and consistent mineral structure. Commonly used in architectural and exterior applications, it offers strength and practicality. Appearance varies by quarry, giving each slab its own natural character.",Grey-Black,Granite,NaturalStone,,
44,Steel Grey,,"Steel Grey Granite is a medium grey stone with fine, consistent mineral grain. Widely used in modern architecture, it delivers a clean and understated surface. Uniform texture ensures visual balance across applications.",Grey,Granite,NaturalStone,,A
45,Silver Grey,,"Silver Grey Granite is a neutral grey stone with even mineral composition and subtle depth. Frequently selected for architectural projects, it provides consistency and durability. Natural variation adds refined character to each slab.",Grey,Granite,NaturalStone,,A
46,New Caledonia,,"New Caledonia Granite is a stable grey stone with uniform grain and strong durability. Commonly used in residential and commercial projects, it offers reliability and neutral aesthetics. Subtle natural variation enhances its architectural appeal.",Grey-Black,Granite,NaturalStone,,A
47,Himalayan Blue,,"Himalayan Blue Granite is a cool-toned stone with blue-grey mineral texture. Used in contemporary architectural applications, it delivers a clean and modern appearance. Each slab displays natural variation that adds depth.",Grey-Blue,Granite,NaturalStone,,A
48,Silver Matrix ,,"Silver Matrix Granite is a grey stone characterized by a silvery mineral texture and layered depth. Frequently selected for modern architectural projects, it offers a clean and contemporary appearance. Natural variation across each slab adds subtle visual interest.",Grey-Silver,Granite,NaturalStone,,A+
49,Paradiso,,"Paradiso Granite is a natural stone defined by flowing movement and blended earthy tones. Widely used in architectural and decorative applications, it delivers an organic and artistic appearance. Each slab features expressive mineral variation shaped by geological processes.",Grey-Purple,Granite,NaturalStone,,A
50,Giallo Ornamental,,"Giallo Ornamental Granite is a warm beige stone with fine mineral speckling. Widely used in interior applications, it offers a classic and versatile appearance. Natural variation across each slab adds subtle visual interest.",Beige-Cream,Granite,NaturalStone,,A
51,Santa Cecilia,,"Santa Cecilia Granite is a warm beige stone known for its traditional mineral patterning. Frequently used in residential interiors, it combines durability with timeless appeal. Each slab features natural variation that enhances its character.",Beige-Gold,Granite,NaturalStone,,A
52,Crystal Yellow,,"Crystal Yellow Granite is a yellow-gold stone with bright mineral speckling. Used in both interior and exterior applications, it brings warmth and durability to surfaces. Natural variation gives each slab a lively yet refined appearance.",Yellow-Gold,Granite,NaturalStone,,A
53,Baltic Brown,,"Baltic Brown Granite is a dark brown stone with bold mineral patterning and strong texture. Widely used for durable architectural surfaces, it conveys richness and strength. Each slab displays unique natural formations.",Dark Brown,Granite,NaturalStone,,A+
54,Tan Brown,,"Tan Brown Granite is a dark stone featuring brown and black tones with subtle mineral highlights. Commonly used in interior and exterior architecture, it offers depth and durability. Natural variation ensures each slab remains distinctive.",Brown-Black,Granite,NaturalStone,,A+
55,Coffee Brown,,"Coffee Brown Granite is a deep brown stone with uniform texture and rich tone. Often used for durable architectural applications, it provides warmth and strength. Each slab maintains consistent mineral structure with slight variation.",Dark Brown,Granite,NaturalStone,,A
56,Marron Cuba,,"Marron Cuba Granite is a medium to dark brown stone with a consistent and durable grain. Commonly used in architectural and exterior applications, it offers warmth and reliability. Each slab maintains subtle natural variation.",Brown,Granite,NaturalStone,,A
57,Cafe Bahia,,"Cafe Bahia Granite is a dark brown natural stone with warm undertones and subtle mineral movement. Commonly used in architectural and interior applications, it delivers depth and richness to surfaces. Each slab displays natural variation that enhances its refined character.",Brown,Granite,NaturalStone,,A+
58,Absolute Black,,"Absolute Black Granite is a dense natural stone with a uniform black appearance. Widely used in both residential and commercial architecture, it is valued for its strength and clean finish. Consistent grain ensures a refined and timeless surface.",Black,Granite,NaturalStone,,A+
59,Black Zimbabwe,,"Black Zimbabwe Granite is a premium black stone recognized for its deep color and smooth texture. Commonly selected for high-performance architectural applications, it offers excellent durability. Uniform appearance creates a sleek and modern finish.",Black,Granite,NaturalStone,,A+
60,Black Galaxy,,"Black Galaxy Granite is a dark stone accented with fine reflective mineral flecks. Quarried in India, it combines visual depth with long-lasting performance. Subtle sparkle across each slab adds dimension while remaining refined.",Black-Grey,Granite,NaturalStone,,A+
61,Black Pearl,,"Black Pearl Granite is a dark stone with subtle shimmer and layered tonal depth. Often used in contemporary interiors, it provides a refined and elegant surface. Natural mineral movement ensures each slab is visually unique.",Black-Dark Grey,Granite,NaturalStone,,A
62,Cosmic Black,,"Cosmic Black Granite is a dramatic stone with sweeping movement across a dark base. Selected for statement interiors, it conveys strength and visual intensity. Each slab features expressive natural patterns formed through geology.",Black,Granite,NaturalStone,,A
63,Titanium Granite,,"Titanium Granite is a bold black stone accented with gold mineral movement. Used in luxury architectural applications, it offers striking contrast and durability. Natural veining within each slab creates a powerful visual presence.",Black-Gold,Granite,NaturalStone,,A
